,Year,GDP ($Y_t$): Baseline,Labor ($L_t$): Baseline,Government Expenditures ($G_t$): Baseline,Lump sum transfers ($TR_t$): Baseline,Wealth ($B_t$): Baseline,Capital Stock ($K_t$): Baseline,Domestically-owned Capital Stock ($K^d_t$): Baseline,Foreign-owned Capital Stock ($K^f_t$): Baseline,Government Debt ($D_t$): Baseline,Domestically-owned Gov Debt ($D^d_t$): Baseline,Foreign-owned Gov Debt ($D^f_t$): Baseline,Real interest rate ($r_t$): Baseline,"Real interest rate on gov debt ($r_{gov,t}$): Baseline","Real interest rate on HH portfolio ($r_{hh,t}$): Baseline",Wage rate: Baseline,Total tax revenue ($REV_t$): Baseline,Business tax revenue: Baseline,Individual income tax revenue: Baseline,Payroll tax revenue: Baseline,GDP ($Y_t$): Reform,Labor ($L_t$): Reform,Government Expenditures ($G_t$): Reform,Lump sum transfers ($TR_t$): Reform,Wealth ($B_t$): Reform,Capital Stock ($K_t$): Reform,Domestically-owned Capital Stock ($K^d_t$): Reform,Foreign-owned Capital Stock ($K^f_t$): Reform,Government Debt ($D_t$): Reform,Domestically-owned Gov Debt ($D^d_t$): Reform,Foreign-owned Gov Debt ($D^f_t$): Reform,Real interest rate ($r_t$): Reform,"Real interest rate on gov debt ($r_{gov,t}$): Reform","Real interest rate on HH portfolio ($r_{hh,t}$): Reform",Wage rate: Reform,Total tax revenue ($REV_t$): Reform,Business tax revenue: Reform,Individual income tax revenue: Reform,Payroll tax revenue: Reform
0,2021,0.6901038573848283,0.3818837125851072,0.034505184687628025,0.06210934716463455,2.3780413842180286,2.070950084644611,1.97143228785902,0.09951779678559125,0.6776818272650144,0.4066090963590086,0.27107273090600575,0.06343090537746424,0.04343089542372561,0.05849984742819329,1.174618482168524,0.071925315835376,0.006626661978312272,0.056672081104723826,0.050488346359535585,0.6894933679739725,0.38177000663855887,0.03447462153213612,0.06205440311765752,2.3780413842180286,2.066872700894249,1.97143228785902,0.0954404130352289,0.6776818272650144,0.4066090963590086,0.27107273090600575,0.06248528980538325,0.04248536786221219,0.057546974761260014,1.1739308884612243,0.07160315994908797,0.008830638139165032,0.05069978210316052,0.05396546647228881
1,2022,0.6894153558309716,0.38093753561952537,0.03447076859020035,0.062047382024787434,2.399501172651588,2.0745857722113965,1.9762886344371922,0.09829713777420442,0.7053542303573264,0.4232125382143958,0.28214169214293056,0.06312174847483194,0.043121734047683616,0.05804713692561934,1.1763607516062617,0.07054620638271582,0.0066145513458988085,0.05701721679069679,0.04973068249809922,0.688883726640708,0.3809073477273716,0.034444155341938024,0.06199953539766372,2.3989883642176535,2.0703311261871806,1.9760095723368125,0.09432155385036803,0.7049646531347349,0.4229787918808409,0.28198586125389397,0.06220127773981978,0.042201341109315976,0.05712104285604945,1.1755484090683566,0.07385662274031857,0.008816028811309107,0.056150460544886774,0.05173352718537155
2,2023,0.690386383887253,0.38137235137230185,0.03451932881164883,0.062134774549852764,2.420907288388737,2.078534772494152,1.9803011008165794,0.09823367167757263,0.7343436459535959,0.4406061875721575,0.2937374583814384,0.06306628303753979,0.04306626446855623,0.05784497390446321,1.1766740834118732,0.07013525282660647,0.006622874594424386,0.05756102090963363,0.049624215100280124,0.6877873639949688,0.3798264824846848,0.03438935042774629,0.061900862759547176,2.416636046345871,2.07183247073771,1.978598134363919,0.09323433637379074,0.730063186636587,0.43803791198195213,0.29202527465463485,0.06194442146511475,0.041944469918299254,0.056733252595901736,1.1770167530875044,0.06835139735298842,0.008795827275210747,0.05400200693418678,0.049297047377986146
3,2024,0.6893437989744182,0.3802349130410403,0.034467208453339525,0.062040941907697635,2.4425680853505307,2.0810890062820078,1.9841209195505947,0.09696808673141323,0.7640786096665599,0.45844716579993594,0.305631443866624,0.06275956270427115,0.04275954127095703,0.05738848807893982,1.1784112745189876,0.0672774567678903,0.00660738213857384,0.05691172301143886,0.048371402181764334,0.6886548103215646,0.38027737592551797,0.03443273640650467,0.061978932928940814,2.4376424242323878,2.0747271380683947,1.9814304770022653,0.09329666106612923,0.7603532453835378,0.4562119472301226,0.3041412981534152,0.06192931144586615,0.04192934522221281,0.05656545004187552,1.1771031756918786,0.06768212937955423,0.008806551876076638,0.05442643934537807,0.04907173775637939
4,2025,0.6884832682650277,0.37929721528464544,0.034424190703753424,0.06196349414385249,2.4652332951726126,2.083203566885527,1.9872798062193977,0.09592376066612938,0.7965891482553581,0.4779534889532148,0.31863565930214327,0.06250662193687684,0.042506598595794476,0.05697434302156873,1.179849400875879,0.06552157406846196,0.006594588289005879,0.056841202611955716,0.04754663096403976,0.6858077210680121,0.3777427247579287,0.03429039596614628,0.06172269489612109,2.4599797055418295,2.0759336124376553,1.984929364279994,0.09100424815766148,0.791750568769726,0.47505034126183554,0.3167002275078905,0.061407757622862776,0.04140778082383964,0.055885901346256095,1.1801016834442963,0.06755786870642251,0.008757561799897926,0.05523156357089609,0.04909958606855161
5,2026,0.6799688168868812,0.37242890103881776,0.03399847658057737,0.0611971935198193,2.487964498657016,2.0798351222265103,1.9894654832006227,0.09036963902588781,0.830831692427322,0.4984990154563932,0.33233267697092883,0.06130555183928891,0.04130552915516977,0.05559666806796411,1.1867474110819782,0.06783992917346517,0.006491443896960389,0.06218223987998134,0.045595635274343765,0.6794450472008973,0.3726806956297684,0.03397227594928722,0.06115005424808075,2.47928442541217,2.0726610689298695,1.9856037317921382,0.08705733713773114,0.8228011560333869,0.49368069362003203,0.32912046241335485,0.060558263351038075,0.04055827883953224,0.05487490142932595,1.1850327260553732,0.06940942207301007,0.008655758690674954,0.06016970546225022,0.04700772006219841
6,2027,0.6793700772808109,0.37248739694816557,0.03396854843618435,0.06114330695527298,2.4995456056977985,2.0739995571630123,1.9829310312081372,0.09106852595487495,0.861024290816102,0.5166145744896612,0.3444097163264408,0.061518540997552926,0.04151851844474269,0.055651296353125504,1.1855157642747673,0.06677672486659764,0.006489584234606204,0.062265810877877616,0.045046180704217044,0.6778351117070669,0.37186919918058564,0.033891793092982216,0.06100516005363603,2.4904801601564928,2.067007317777598,1.9800128088248352,0.08699450895276264,0.8507789188860961,0.5104673513316575,0.3403115675544386,0.06059744316731519,0.040597451390760125,0.05476578842530497,1.184803936926414,0.06772102053575257,0.008636196409919056,0.05989941764580988,0.04624431907391494
7,2028,0.6774296616359612,0.3714375859718264,0.03387153630768333,0.0609686695472365,2.5127539635729987,2.067927847780964,1.97709083299099,0.09083701478997402,0.8927718843033481,0.5356631305820089,0.3571087537213392,0.0615264097418102,0.04152638839524685,0.05549559068492768,1.1854703422286696,0.06592074102435694,0.006471188017942168,0.06236361009696266,0.04470220186416639,0.6760964621337048,0.370959232081027,0.03380487436381396,0.06084868159203343,2.5027489841358905,2.0612489432943155,1.9743894895395586,0.08685945375475694,0.8805991576605533,0.5283594945963318,0.3522396630642215,0.06062157738784922,0.040621580702416435,0.05463488911803605,1.1846630650154792,0.06767443389072325,0.008614624298912736,0.06039872681768775,0.046307991677685525
8,2029,0.6769631046336956,0.3715691223053015,0.03384821726511444,0.0609266794170326,2.5265200808348447,2.0625023067573904,1.9709489183397588,0.09155338841763157,0.9259519374918097,0.5555711624950859,0.37038077499672384,0.06174086480386288,0.04174084570471154,0.055544004993750146,1.1842340548375145,0.06450984094816894,0.006470584765683473,0.06207494646402284,0.04404505072213841,0.6764171297426187,0.37167846660294457,0.03382092125798011,0.06087754167683569,2.5152815603498007,2.0566283882657257,1.9686430815936704,0.08798530667205545,0.9110641312602172,0.5466384787561303,0.36442565250408704,0.06091912239027847,0.040919122000582245,0.054779259590606956,1.182930707069539,0.06706892390378866,0.008625898204442504,0.06054063120654309,0.04599388268618717
9,2030,0.6759577313917866,0.3712612585981427,0.03379795731125639,0.0608361958252608,2.5416807729193827,2.056924393459661,1.96501696980754,0.09190742365212104,0.9611063385197378,0.5766638031118427,0.3844425354078951,0.06187626530219552,0.041876249700585025,0.05550717740278875,1.183455412507056,0.06245761446099231,0.0064633959133707074,0.06125965974731823,0.04310074840880572,0.6760070963952733,0.3717785881153802,0.033800433034537315,0.0608406386755746,2.5291700379031976,2.0520382020217673,1.9634576170510873,0.08858058497067994,0.9428540347535173,0.5657124208521103,0.37714161390140705,0.06109768716939175,0.04109768566896359,0.0548012957352403,1.1818945509913938,0.0654857281731234,0.008624959636963012,0.059989361855928965,0.04523783403170872
10,2031,0.6743757190416527,0.3705154701391401,0.03371886498864188,0.06069381471374874,2.5581319219158414,2.0508420311479414,1.958902517619539,0.09193951352840238,0.9987156738271705,0.5992294042963024,0.39948626953086813,0.061944824509908424,0.04194481405645967,0.055394934285781974,1.1830617382846598,0.06198302808828289,0.006449488348747718,0.06111249147158013,0.04299720452931782,0.6745933867113634,0.3710757733949935,0.033729760434780806,0.0607134048040227,2.5444603842926705,2.046978239102162,1.958433911803957,0.08854432729820477,0.9767107874811894,0.5860264724887135,0.3906843149924759,0.06113885917549786,0.04113885959952779,0.054678495195169666,1.1816560292148026,0.06504192324041663,0.00860790385833074,0.05986940053853599,0.04514737148970866
11,2032,0.6727392175446654,0.3698132825506502,0.03363704793216682,0.060546529579019875,2.574095219329506,2.043840242729341,1.9517288467272629,0.09211139600207818,1.0372772876704048,0.622366372602243,0.41491091506816186,0.06205475333900423,0.042054749581452985,0.05532165264322037,1.1824312821239398,0.06157404380443042,0.006435786280711944,0.06097436343444421,0.04290002113324031,0.6731421191112109,0.37041895018350957,0.03365720950171438,0.06058279072000898,2.5593419747501653,2.0411226226996413,1.9524869834611696,0.08863563923847172,1.01142498548166,0.6068549912889958,0.4045699941926641,0.061216945907480655,0.04121695081404331,0.05459022156327581,1.1812040341227823,0.0646824803047914,0.008591245157331511,0.059769373443944916,0.045071941297358024
12,2033,0.6710791538333143,0.36919309583916315,0.03355405237374359,0.06039712384499828,2.589362026899093,2.035797327708355,1.9433275893485624,0.09246973835979277,1.0767240625842176,0.6460344375505307,0.43068962503368696,0.06221840559704377,0.042218410196618913,0.055299776980166665,1.1814944770287998,0.061189196201402035,0.0064227934913922875,0.06084876264620347,0.0428116515928896,0.6716773915945382,0.3698405724942409,0.03358398494660371,0.06045096524350844,2.573597393265509,2.034350637502042,1.9454550679647664,0.0888955695372759,1.0469038755012379,0.6281423253007425,0.41876155020049527,0.06134283740083443,0.0413428494558111,0.05454757330586245,1.180476365634954,0.06437989689743145,0.008575540244282366,0.05970077812365531,0.0450202137306927
13,2034,0.6691567218882892,0.36850850164055626,0.033457937900418344,0.06022410496994602,2.6032828458993618,2.026148963905839,1.9331980933862958,0.09295087051954327,1.1168079208551098,0.670084752513066,0.4467231683420438,0.062427942069617985,0.04242795678793912,0.05532125173220669,1.1802980991590877,0.060691842601075914,0.006408070091704778,0.06069845472055515,0.04270589873507192,0.669961455762071,0.3691958194647111,0.03349819917668374,0.06029653101858638,2.586542662680934,2.026088661045325,1.936824127969754,0.08926453307557086,1.082864224518633,0.6497185347111798,0.4331456898074533,0.06150927795153255,0.04150929991803655,0.05454323264670407,1.179516285692006,0.06398043639235668,0.008557565536808278,0.05961811029690419,0.04495787412062465
14,2035,0.6669862199442061,0.36774976459503045,0.033349419469722565,0.06002875979497854,2.6163033160670532,2.0151247806968926,1.9216039056774799,0.09352087501941267,1.157832350649289,0.6946994103895734,0.46313294025971546,0.06267418632893518,0.0426742129206287,0.05537611435277743,1.1788965472953112,0.060250126192062756,0.006391573381167904,0.060531978935286494,0.04258877057982883,0.6680294205602693,0.36849157398306054,0.03340160769283519,0.060122647850424225,2.598599439977874,2.016574688216507,1.9268527411758343,0.08972194704067306,1.1195778313367324,0.6717466988020394,0.447831132534693,0.061709904913538706,0.04170993946334897,0.054570158699362256,1.1783619736719193,0.06360463463943056,0.008537600052160333,0.059501913495554254,0.04487025039115229
15,2036,0.6646510320234141,0.3669938543968259,0.03323266603099848,0.05981859288210728,2.6282891309385095,2.002669189114689,1.9084168242241135,0.09425236489057552,1.1997871778573266,0.719872306714396,0.4799148711429306,0.06297541488276848,0.04297545540798049,0.055482566492193484,1.1771884849233438,0.05998979331095232,0.006374398919723967,0.06036220513050375,0.042469322021405076,0.6659556755947441,0.3677950675444518,0.03329792958179102,0.05993601080352698,2.6096786131186027,2.0057731752969037,1.9154441641661144,0.09032901113078932,1.1570574149208137,0.6942344489524882,0.4628229659683255,0.06195990669627112,0.041959956892103065,0.05464340003651213,1.1769280890212528,0.06342136439937889,0.008516928998650367,0.05938945816394239,0.04478544809504425
16,2037,0.6621454396582969,0.36624679371102725,0.03310739184951361,0.05959308956924672,2.6390690032949284,1.988684267824584,1.8935228490730267,0.09516141875155733,1.2425769237031694,0.7455461542219017,0.4970307694812677,0.06333787246798564,0.043337928858856026,0.05564698586821213,1.1751425699000146,0.059884051038619907,0.006356569570779748,0.060194734437071906,0.04235149387392226,0.6637479349333201,0.36712199746306096,0.03318755078975012,0.05973731414399881,2.6196022810545734,1.9936011207200168,1.9024928060661872,0.09110831465382971,1.1951824583139767,0.7171094749883861,0.4780729833255907,0.062266478591735355,0.04226654721475756,0.054770419296003826,1.1751765267346248,0.06338692905391621,0.008495787444906313,0.05927622505660262,0.04470005928012349
17,2038,0.6594574223754275,0.36550965340463193,0.03297299597892957,0.05935116801378848,2.6485026650744596,1.973072177222507,1.8768123452329606,0.09625983198954643,1.2861505330691652,0.7716903198414992,0.514460213227666,0.06376724056096394,0.04376731477605782,0.055874966668076696,1.1727320626917022,0.0598482299765148,0.006338029417125896,0.060020983005063824,0.04222924675750764,0.6613826632540705,0.3664618090993141,0.03306929461375379,0.05952443969286633,2.628252055734084,1.9799757810979457,1.8879157174900987,0.092060063607847,1.2338938970733087,0.7403363382439851,0.49355755882932345,0.06263199081981885,0.04263208061886388,0.0549535615792723,1.1730979112837387,0.06341174686516231,0.008473889602710815,0.05915162278775376,0.044606097007750985
18,2039,0.6564356400022417,0.3646752272811288,0.0328219114511873,0.059079207600201744,2.656475057894123,1.95563219537764,1.8581548234870402,0.09747737189059999,1.3305337240118047,0.7983202344070829,0.5322134896047218,0.0642517036672906,0.044251797832227116,0.056154036298416636,1.1700291376703842,0.059719913151319234,0.006317080923967959,0.05981190203977931,0.042082142674348046,0.6587070851575216,0.3657041125710729,0.032935522277204775,0.05928363766417694,2.635525609376954,1.9647119804430817,1.8716011488864475,0.09311083155663423,1.2732074341508444,0.7639244604905067,0.5092829736603377,0.06304309499517577,0.04304320889367004,0.055178889097168546,1.1707725296424427,0.06335290044596982,0.008448928225398377,0.058999176028927645,0.044491137272206376
19,2040,0.6530369967209702,0.36372843197600585,0.03265198396235865,0.058773329704887314,2.6628798063516297,1.9361658875701915,1.837342820036543,0.0988230675336485,1.375894977191811,0.8255369863150868,0.5503579908767242,0.06479827351660297,0.04479838965901639,0.056490022413367286,1.167000968551131,0.05963235597324492,0.006293376697752265,0.05956922615548885,0.04191140205520601,0.6557043562396523,0.36485289516654495,0.03278539213914476,0.0590133920615687,2.641312146374759,1.947639964989947,1.8533570896195948,0.0942828753703521,1.3132584279252737,0.7879550567551643,0.5253033711701094,0.06350879454845353,0.043508935216121314,0.05545438838625627,1.1681541734280656,0.06330420375360349,0.00842084056323189,0.05879744798715524,0.04433901463927759
20,2041,0.6491305106143512,0.36259643545070197,-0.06308993166280963,0.0584217459552916,2.6674019298321796,1.914305393425298,1.8140304661887114,0.10027492723658665,1.4222857727391132,0.8533714636434682,0.568914309095645,0.06540947601631691,0.045409616276408285,0.056884256780193904,1.163641091514573,0.05941380497119058,0.0062656344751692294,0.05927003858419452,0.041700901241283964,0.652258142769685,0.36384136044008136,-0.0494528813517134,0.05870323284927165,2.645361649760963,1.9284514691333805,1.8328979022839667,0.09555356684941387,1.3541062457949942,0.8124637474769966,0.5416424983179976,0.06402975942978036,0.04402992962756362,0.055779649304812114,1.1652448257632528,0.0630860554798537,0.00838808434998278,0.05852019256450285,0.04412993698940256
21,2042,0.6526823160546729,0.3629467823053456,-0.05615037622879054,0.05874140844492056,2.6697383804677215,1.9409039954567002,1.8432820661589533,0.09762192929774703,1.3774271905146132,0.8264563143087682,0.550970876205845,0.0644588158859277,0.044458975037146894,0.05615706160277335,1.168879502429841,0.0598102007287586,0.006284381059699679,0.05951577290413964,0.04187379369845807,0.6552158295858723,0.36411289689735643,-0.04377796768181129,0.05896942466272851,2.6474641781301225,1.9508403811622164,1.8575432466916624,0.09329713447055392,1.316534885730767,0.7899209314384602,0.5266139542923068,0.06324132962315547,0.04324152446882522,0.055182876233624466,1.1696565112201849,0.063415609376056,0.00840859188743716,0.05870030845306901,0.044265761949384606
22,2043,0.6558280288299475,0.3632700626591957,-0.050036325995236906,0.05902452259469527,2.671776929896376,1.9645034228231255,1.8692246123157834,0.09527881050734201,1.3375871959676533,0.8025523175805923,0.535034878387061,0.06363594081504237,0.04363611675753391,0.05553466598419272,1.1734685915679044,0.060165166257345935,0.006300943888893787,0.05973952141427821,0.04203121749549034,0.6578432765577296,0.364363990677378,-0.038734559328437765,0.05920589489019565,2.649353960817257,1.970753750728078,1.8794553961470912,0.09129835458098676,1.283164274450276,0.7698985646701656,0.5132657097801104,0.06255459157992647,0.042554809338881144,0.05466793401981531,1.173538321106301,0.06373263997702502,0.008426778762865959,0.05887855454648469,0.04440017690132399
23,2044,0.658516202132643,0.3634959873896277,-0.04484206335509201,0.059266458191937876,2.673466635280314,1.985307118789386,1.8921448228675168,0.09316229592186914,1.3022030206879947,0.7813218124127971,0.5208812082751976,0.06291234574460008,0.04291253622883068,0.05499041201776293,1.1775468206826658,0.06032517550474615,0.006314484215580641,0.059920602365823285,0.04215862147661533,0.6600831221345437,0.36452986946763166,-0.034471808699219675,0.05940748099210893,2.650933731691549,1.9883079860997463,1.8988188494716132,0.08948913662813317,1.253524803699893,0.7521148822199357,0.5014099214799572,0.0619478299045927,0.041948068555330884,0.054214639654622074,1.1769988662950075,0.0638558392772814,0.008441539976183373,0.059018467372646564,0.04450568482827975
24,2045,0.660893909845779,0.3636992266802885,-0.04023225478186544,0.059480451886120105,2.674949313619343,2.003778398559206,1.9124930408308427,0.09128535772836348,1.2707604546475,0.7624562727885004,0.5083041818589996,0.062280937067854064,0.0422811387705138,0.054519670156035094,1.1811387454993343,0.06052086744225696,0.00632639293703066,0.060083606577499955,0.04227330712041471,0.662077826534846,0.36468762680153777,-0.030733471071599336,0.05958700438813615,2.6523371214491474,2.0039153151113065,1.916025989262784,0.08788932584852263,1.2271852203106055,0.7363111321863633,0.4908740881242422,0.061417834066254715,0.041418089951596945,0.05382200493654409,1.1800455571997797,0.06395829744083308,0.008454718666951697,0.05911029407714319,0.04457493112610958
25,2046,0.6629352664574983,0.3638356446135342,-0.03630098192872986,0.059664173981174844,2.6762101508745846,2.020107635345612,1.9305188879656274,0.0895887473799844,1.2428187715149281,0.7456912629089572,0.49712750860597094,0.06172223632123861,0.04172244636642604,0.054104618590142414,1.184343278705767,0.06065610711579759,0.00633616320666572,0.06021475799299369,0.04236558194182199,0.663792042400554,0.3647857504359235,-0.027578108798369222,0.059741283816049845,2.6536030506197186,2.0177693362121314,1.9313357897123387,0.08643354649979285,1.2037787681789665,0.7222672609073799,0.4815115072715866,0.06094492694794929,0.04094519683282405,0.05347189412951875,1.1827831667353084,0.06399132030488247,0.008465477210702371,0.05916806138898019,0.04461849331754639
26,2047,0.6647841722840035,0.3639805057117318,-0.032702323974436176,0.059830575505560306,2.6774427395434754,2.034743820716828,1.9466562791338617,0.08808754158296611,1.2179774340160223,0.7307864604096137,0.48719097360640856,0.06123226505240159,0.041232480607310426,0.05374349090397683,1.1871741228574442,0.06080299712782919,0.00634516032179743,0.06033987381541183,0.04245361027247626,0.6653747145028932,0.36490722547975407,-0.02466312514630884,0.059883724305260386,2.654928381104987,2.030291930684242,1.945146342551079,0.08514558813316297,1.1829700642565133,0.709782038553908,0.4731880257026054,0.06052846895350789,0.040528749494772365,0.053165688067671045,1.1852090680987444,0.06404457055383446,0.008475754864846063,0.059226135306980426,0.04466228671995623
27,2048,0.6665058215673982,0.3641843465442045,-0.029470326846773198,0.05998552394106584,2.678423395896212,2.0477079033314523,1.9608848699254697,0.08682303340598273,1.1958975432845695,0.7175385259707421,0.47835901731382746,0.060817966806069296,0.040818186632112785,0.0534442906929091,1.1895829000749434,0.0610099507702027,0.006354179354584644,0.06047239155131825,0.042546846402395457,0.6668567044586733,0.3650791670265686,-0.02197436570355287,0.0600171034012806,2.656090924379753,2.04145484127786,1.9574031612122655,0.08405168006559471,1.164479605279146,0.6986877631674876,0.46579184211165836,0.06017316843166778,0.040173458630652664,0.05290891459723763,1.1872900025741118,0.06421976863692941,0.008486103346211905,0.059328453191563525,0.04473944439155076
28,2049,0.6680020309064383,0.36434664964468455,-0.02671212414950673,0.06012018278157944,2.6792467021313873,2.059166348557792,1.9734763836263591,0.0856899649314326,1.1762838641750464,0.7057703185050281,0.4705135456700182,0.060451945556420965,0.0404521667381568,0.053180924188978004,1.1917226257315074,0.061104557210080165,0.006361832363022162,0.060581527638683595,0.04262363179531565,0.6681452157924188,0.3652143697220282,-0.01963580440032954,0.0601330694213177,2.657103916684351,2.0513364903772957,1.9682676406410016,0.08306884973629397,1.1480604600722488,0.6888362760433493,0.4592241840288995,0.05985807200679352,0.03985836810659521,0.052681615300596646,1.1891442046711722,0.06434348262118372,0.008494874501467051,0.05944383590425362,0.04482645421871542
29,2050,0.6693261726693461,0.3644857888672521,-0.024276270030300175,0.06023935554024115,2.6800225864328815,2.069383799411387,1.9847090086184864,0.08467479079290086,1.1588559630239912,0.6953135778143951,0.46354238520959606,0.060127345476843286,0.04012756543802018,0.0529480520659735,1.1936294138659074,0.06117847639009853,0.006368531227760049,0.06067107721095161,0.04268663661121505,0.6692878830129666,0.3653339924098273,-0.017570812514683863,0.06023590947116699,2.6580163047720142,2.0601246665338153,1.9779304171534524,0.08219424938036306,1.1334764793642698,0.6800858876185619,0.45339059174570784,0.059579850707497134,0.039580149312443094,0.05248170172158168,1.190788284884748,0.06444394551530995,0.008502620703096462,0.0595392968982739,0.044898441125566714
30,2051,0.6705060879876867,0.36461054463272097,-0.02212851812308672,0.06034554791889181,2.6807562881950524,2.078503760248716,1.9947346153565935,0.08376914489212255,1.143369454730764,0.6860216728384588,0.4573477818923052,0.05983997966264974,0.03984019645734414,0.05274262859399493,1.195324753382752,0.06123014592226311,0.006374485574344734,0.060744111847120176,0.042738021935449864,0.6702998070087107,0.3654384471598278,-0.015830998980320435,0.06032698263078397,2.658838850567048,2.0679402818481027,1.9865254866336401,0.0814147952144624,1.1205222732223465,0.672313363933408,0.4482089092889386,0.05933371179467138,0.03933401033619788,0.05230537742564383,1.1922481887035947,0.06443941313821136,0.008509438262032282,0.05957227431546734,0.044923309316853274
31,2052,0.6715492196513704,0.3647144933529538,-0.020279878660219956,0.060439429768623334,2.6814639958736617,2.0866523269543205,2.0036988549064825,0.08295347204783793,1.1296085682786312,0.6777651409671791,0.4518434273114521,0.05958354655458373,0.039583758464785276,0.05255937563484244,1.1968434071797007,0.061213592380222545,0.006379666868541398,0.06080557214811505,0.04278126384996973,0.6712115562989285,0.36553505176307804,-0.014407885873810838,0.060409040066903556,2.6596631775946094,2.0749700024990925,1.9942540245456009,0.08071597795349171,1.1090152550816808,0.6654091530490085,0.44360610203267226,0.059114156765116374,0.039114452807999495,0.05214821547355769,1.1935547199837653,0.06430755237379555,0.008515596550654607,0.05956073960843768,0.04491461102192115
32,2053,0.6725213187217488,0.3648356191589363,-0.018712251002101797,0.060526918684957395,2.682190308610553,2.0940034080969157,2.01176217296522,0.08224123513169569,1.1173802260755545,0.6704281356453331,0.44695209043022144,0.05935892440098081,0.03935912991956071,0.052400234970559824,1.1981781894820176,0.06111732530588852,0.006384729083969164,0.060860315472160295,0.04281977986926315,0.6720800014255088,0.3656509541529333,-0.013194419702064974,0.06048720012829578,2.6606054706844215,2.0814254616959547,2.0013280613125204,0.08009740038343448,1.0987956822865015,0.6592774093719009,0.43951827291460055,0.05891883211139616,0.03891912347922642,0.0520089096294024,1.1947204836480156,0.06412728568240922,0.008521771086834358,0.059561370212930544,0.044915086559258195
