,Year,GDP ($Y_t$): Baseline,Labor ($L_t$): Baseline,Government Expenditures ($G_t$): Baseline,Lump sum transfers ($TR_t$): Baseline,Wealth ($B_t$): Baseline,Capital Stock ($K_t$): Baseline,Domestically-owned Capital Stock ($K^d_t$): Baseline,Foreign-owned Capital Stock ($K^f_t$): Baseline,Government Debt ($D_t$): Baseline,Domestically-owned Gov Debt ($D^d_t$): Baseline,Foreign-owned Gov Debt ($D^f_t$): Baseline,Real interest rate ($r_t$): Baseline,"Real interest rate on gov debt ($r_{gov,t}$): Baseline","Real interest rate on HH portfolio ($r_{hh,t}$): Baseline",Wage rate: Baseline,Total tax revenue ($REV_t$): Baseline,Business tax revenue: Baseline,Individual income tax revenue: Baseline,Payroll tax revenue: Baseline,GDP ($Y_t$): Reform,Labor ($L_t$): Reform,Government Expenditures ($G_t$): Reform,Lump sum transfers ($TR_t$): Reform,Wealth ($B_t$): Reform,Capital Stock ($K_t$): Reform,Domestically-owned Capital Stock ($K^d_t$): Reform,Foreign-owned Capital Stock ($K^f_t$): Reform,Government Debt ($D_t$): Reform,Domestically-owned Gov Debt ($D^d_t$): Reform,Foreign-owned Gov Debt ($D^f_t$): Reform,Real interest rate ($r_t$): Reform,"Real interest rate on gov debt ($r_{gov,t}$): Reform","Real interest rate on HH portfolio ($r_{hh,t}$): Reform",Wage rate: Reform,Total tax revenue ($REV_t$): Reform,Business tax revenue: Reform,Individual income tax revenue: Reform,Payroll tax revenue: Reform
0,2021,0.7119388618130618,0.38403722513954086,0.03559693672088761,0.06407449756317557,2.2974500912712377,2.2401967431540477,2.1576253238315912,0.08257141932245667,0.6991238371982326,0.13982476743964645,0.5592990697585861,0.05822370243396064,0.038223723275242275,0.053466677179419234,1.204988355544888,0.07278702869965786,0.006736352825334611,0.057349547743788164,0.05109189169708734,0.7116101253501615,0.38412870090246465,0.03558049663778592,0.06404491128151453,2.2974500912712377,2.2362541063336483,2.1576253238315912,0.07862878250205703,0.6991238371982326,0.13982476743964645,0.5592990697585861,0.057359155281347385,0.03735918586510925,0.052595747596275375,1.2041452986212395,0.0725724117640329,0.008981395723808822,0.05135455344485162,0.054662413074843215
1,2022,0.7123048281032891,0.383210796674551,0.035615242120486,0.06410743452929601,2.31709214354299,2.2524802374486046,2.1719869834969696,0.08049325395163487,0.7255258002301016,0.14510516004602025,0.5804206401840813,0.05769357530079769,0.03769359027631666,0.052821029318000465,1.2082074104806018,0.07143764574917176,0.006729082858135601,0.057748653323847515,0.05036864485482309,0.7118724529425519,0.3832171919517888,0.035593620311410445,0.06406852076482966,2.3170370660926576,2.2485070762049513,2.172015922334678,0.07649115387027308,0.7251057187898973,0.14502114375797936,0.5800845750319179,0.05681996744338599,0.036819992515010766,0.051943055432426055,1.2074540226195172,0.07485277894581055,0.00897001493907574,0.05690350421727736,0.052427334589965284
2,2023,0.7144456430541548,0.3837833060275536,0.0357222895640839,0.06430010787487392,2.3366656152930387,2.2655846857970863,2.1860533195614233,0.07953136623566315,0.7530614786580774,0.1506122957316154,0.602449182926462,0.05739511694522261,0.037395126798204295,0.05240573013400275,1.2100305463261205,0.07108455738161328,0.006743198453167499,0.05836028943883317,0.05031327642666191,0.7116655194906217,0.38218285295595156,0.03558327968251398,0.06404989675415595,2.333117656395857,2.2579435487638237,2.1833816742382908,0.07456187452553284,0.7486799107878304,0.149735982157566,0.5989439286302644,0.05634832913190012,0.03634834904674142,0.051368144268814316,1.2103696222513485,0.06940436747890405,0.00895443665259265,0.054819304592721815,0.05004313745282024
3,2024,0.7145354014493613,0.3827703981211207,0.03572678412166457,0.06430818613044254,2.3564425142957943,2.2775469878541306,2.2002190589053088,0.0773279289488217,0.7811172769524283,0.15622345539048554,0.6248938215619427,0.056849377075526564,0.03684938320929493,0.05174181611774133,1.2133846798565315,0.06829061970441967,0.006732787033175865,0.0577873676776438,0.04911564533723518,0.713837991045476,0.3828199984294212,0.03569190928848664,0.06424541919409284,2.352408978286836,2.270656124718706,2.1969642029351486,0.07369192178355742,0.7772238767584366,0.15544477535168733,0.6217791014067493,0.056079011415700264,0.03607902643416504,0.050978932604622496,1.2120435354135595,0.06883225297049853,0.008974288813169983,0.055333133584280034,0.04988922760968899
4,2025,0.7149446460184996,0.38197840896454055,0.03574725265824926,0.06434501814166496,2.3771521892093026,2.2900662647008727,2.2148129728559227,0.07525329184494994,0.8116960817668997,0.16233921635337978,0.6493568654135199,0.056330806660732674,0.03633081007435092,0.05109704245441082,1.216596572052168,0.0665891687182033,0.006725830848512968,0.057793150980963076,0.048342918440696575,0.7121074470233097,0.38036832143055715,0.03560538811509683,0.06408967023209788,2.3730104193722514,2.282029186145772,2.211688642121728,0.0703405440240442,0.806608886252618,0.16132177725052366,0.6452871090020943,0.05530393097603298,0.03530394302521242,0.05008087437931932,1.2168982196720477,0.06868572336829112,0.00893083827856092,0.05617323232369373,0.04993670786968811
5,2026,0.7074671071838456,0.37517658340914434,0.03537338174747443,0.06367203964654611,2.3979102444159066,2.297698224409062,2.229163931567343,0.0685342928417189,0.8437315642428195,0.16874631284856378,0.6749852513942557,0.05488243327497939,0.03488243634017607,0.04951080336515598,1.225697779214836,0.06900554737210599,0.006625040294106691,0.06330036020252233,0.046415506133254784,0.7069460425987795,0.3755223123481314,0.03534732375101416,0.06362514383389015,2.390592118027127,2.2889488989674587,2.223503788893969,0.06544511007348973,0.8354416456657909,0.1670883291331583,0.6683533165326326,0.054237788006536086,0.034237798299065314,0.048889933365592414,1.2236676516101215,0.07063992580701403,0.008835953138529314,0.06126772187777534,0.04786554789911688
6,2027,0.7081761771741237,0.3754242070473463,0.035408841828482876,0.06373585594567113,2.407399311600337,2.3014604356876345,2.233130429695785,0.06833000599184962,0.8713444095227603,0.17426888190455192,0.6970755276182083,0.05481651000231247,0.03481651180117082,0.04932393978798369,1.2261166531397454,0.06800776715389885,0.0066302712611105725,0.0634692999148567,0.04591684445806473,0.706531557760426,0.37487445935841585,0.03532660587536749,0.06358784019843833,2.400130669354805,2.292454362573302,2.22795042204599,0.0645039405273119,0.8609012365440721,0.17218024730881454,0.6887209892352576,0.05402006029336983,0.03402006875099903,0.04855985208966846,1.2250633654184053,0.06903393022534407,0.00882453941743387,0.061088158664479586,0.0471620662094325
7,2028,0.7074334012806514,0.3744665008141513,0.03537170953418602,0.06366900611525862,2.4184646126748213,2.305478883016265,2.2384220163987094,0.0670568666175555,0.9002129813805599,0.18004259627611185,0.7201703851044481,0.05452672917185507,0.03452673069377481,0.048910400149479366,1.227962822214226,0.06713787949451487,0.006617114458275345,0.06361153899302527,0.045596716619440855,0.7059212312728073,0.3740279250914659,0.035296095851241806,0.06353291081455265,2.410660007386227,2.296420463419596,2.233078059671126,0.0633424037484699,0.8879097385755036,0.17758194771510094,0.7103277908604027,0.05375400746181126,0.033754015000471496,0.04817727883669315,1.2267750639391124,0.06903799971798316,0.008809270996474902,0.06166484933546372,0.04727873384569642
8,2029,0.7084276798586977,0.3748224351242775,0.03542142999581154,0.0637584911872828,2.429925417605685,2.310666595267525,2.243878916016892,0.06678767925063277,0.9302325079439662,0.1860465015887931,0.7441860063551731,0.05443941832201096,0.03443941985403072,0.04869884917923624,1.2285206319076958,0.0658444880070841,0.0066245350844777555,0.06344142414842742,0.045014629954158406,0.7076213302527017,0.37494897217192596,0.03538110706726367,0.06368591972274314,2.4212278183979214,2.301718305871867,2.238180241638162,0.06353806423370495,0.915237883798796,0.18304757675975936,0.7321903070390366,0.05376433976262243,0.03376434650818895,0.04807426995471727,1.2267084536455153,0.06848257263226354,0.008830782726100118,0.06187948542554372,0.04701103600380846
9,2030,0.7088467039476263,0.3746682301895596,0.03544238769102431,0.06379620335528635,2.4426810553841154,2.3163413296144886,2.2503172785675547,0.06602405104693397,0.961818884082804,0.1923637768165607,0.7694551072662433,0.05424694424183444,0.03424694675036767,0.04837891969945316,1.2297528768500259,0.06383368716030773,0.006624298480968105,0.06270349865220387,0.04411659697275478,0.7085898129797298,0.375229334950758,0.035429537438804164,0.06377308316817568,2.433107456138868,2.307523322800983,2.2443915199575493,0.06313180284343366,0.9435796809065944,0.188715936181319,0.7548637447252754,0.05364641203037912,0.03364641889463564,0.04784175572948099,1.2274692385013628,0.0669547416800594,0.00883945392422761,0.0614046045659964,0.04630506516822878
